Date,CPI,Unemployment Rate,10-year Treasury
2010-04-11,0.008114660683441601,9.8,3.87
2010-04-12,0.0090330223661465,9.790000000000001,3.87
2010-04-13,0.009951384048851401,9.78,3.84
2010-04-14,0.0108697457315563,9.77,3.88
2010-04-15,0.0117881074142612,9.76,3.86
2010-04-16,0.0127064690969661,9.75,3.79
2010-04-17,0.013624830779671,9.74,3.79
2010-04-18,0.014543192462375901,9.73,3.83
2010-04-19,0.0154615541450808,9.72,3.83
2010-04-20,0.0163799158277857,9.709999999999999,3.82
2010-04-21,0.017298277510490602,9.7,3.77
2010-04-22,0.0182166391931955,9.69,3.8
2010-04-23,0.0191350008759004,9.68,3.84
2010-04-24,0.0200533625586053,9.67,3.84
2010-04-25,0.0209717242413102,9.66,3.83
2010-04-26,0.0218900859240151,9.65,3.83
2010-04-27,0.02280844760672,9.64,3.71
2010-04-28,0.023726809289424902,9.629999999999999,3.8
2010-04-29,0.0246451709721298,9.62,3.76
2010-04-30,0.0255635326548347,9.61,3.69
2010-05-01,0.0264818943375396,9.6,3.69
2010-05-02,0.026274020965423653,9.593548387096774,3.72
2010-05-03,0.02606614759330771,9.587096774193547,3.72
